Date,US
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,6
1/30/20,6
1/31/20,8
2/1/20,8
2/2/20,8
2/3/20,11
2/4/20,11
2/5/20,11
2/6/20,12
2/7/20,12
2/8/20,12
2/9/20,12
2/10/20,12
2/11/20,13
2/12/20,13
2/13/20,14
2/14/20,14
2/15/20,14
2/16/20,14
2/17/20,15
2/18/20,16
2/19/20,16
2/20/20,16
2/21/20,16
2/22/20,16
2/23/20,16
2/24/20,17
2/25/20,18
2/26/20,19
2/27/20,19
2/28/20,19
2/29/20,26
3/1/20,39
3/2/20,57
3/3/20,79
3/4/20,113
3/5/20,184
3/6/20,247
3/7/20,417
3/8/20,538
3/9/20,630
3/10/20,797
3/11/20,1156
3/12/20,1596
3/13/20,2222
3/14/20,2952
3/15/20,3234
3/16/20,4667
3/17/20,6450
3/18/20,9156
3/19/20,13663
3/20/20,20064
3/21/20,26056
3/22/20,34944
3/23/20,46096
3/24/20,56714
3/25/20,68841
3/26/20,86662
3/27/20,105253
3/28/20,127417
3/29/20,143544
3/30/20,165698
3/31/20,192079
4/1/20,224281
4/2/20,256626
4/3/20,288993
4/4/20,321379
4/5/20,350713
4/6/20,382646
4/7/20,413222
4/8/20,444341
4/9/20,480413
4/10/20,514690
4/11/20,543878
4/12/20,570812
4/13/20,597803
4/14/20,626217
4/15/20,652179
4/16/20,682442
4/17/20,715446
4/18/20,743379
4/19/20,769251
4/20/20,799039
4/21/20,825257
4/22/20,854328
4/23/20,887581
4/24/20,919920
4/25/20,950298
4/26/20,976871
4/27/20,1000666
4/28/20,1025354
4/29/20,1051785
4/30/20,1080942
5/1/20,1115844
5/2/20,1143248
5/3/20,1167577
5/4/20,1191815
5/5/20,1216263
5/6/20,1240643
5/7/20,1268262
5/8/20,1295396
5/9/20,1320096
5/10/20,1339110
5/11/20,1358249
5/12/20,1381136
5/13/20,1401652
5/14/20,1428388
5/15/20,1453085
5/16/20,1477370
5/17/20,1496009
5/18/20,1518223
5/19/20,1539142
5/20/20,1561937
5/21/20,1587724
5/22/20,1611383
5/23/20,1632503
5/24/20,1652809
5/25/20,1671298
5/26/20,1690282
5/27/20,1709756
5/28/20,1731479
5/29/20,1756127
5/30/20,1780340
5/31/20,1799674
6/1/20,1816679
6/2/20,1837948
6/3/20,1857728
6/4/20,1879463
6/5/20,1904375
6/6/20,1925849
6/7/20,1944117
6/8/20,1960815
6/9/20,1978823
6/10/20,2000019
6/11/20,2022421
6/12/20,2047570
6/13/20,2072696
6/14/20,2092027
6/15/20,2110610
6/16/20,2134511
6/17/20,2161726
6/18/20,2190127
